word,frequency_in_target
abstenencie,1
abstenencien,1
achterclapich,1
achterspraek,1
aderken,1
aelden,1
aelderen,1
aelders,1
aels,1
aenbegijn,1
aenbrachten,1
aendachtelic,1
aendachtelicke,1
aendachtelicken,1
aendechtelick,1
aenderhaluen,1
aengegaen,1
aenhalt,1
aennamen,1
aensloch,1
aermelick,1
afbrack,1
afgenaemen,1
afgescheiden,1
afgunstich,1
afsettinghe,1
aftoe,1
aij,1
aldegondts,1
aldegontds,1
aldegonts,1
aleraenus,1
alerianus,1
algods,1
alijen,1
alijts,1
alledijnck,1
allentellen,1
allewege,1
allick,1
allijnge,1
almechtichge,1
almijssen,1
alpenbenen,1
alremallicks,1
alresalichste,1
alsickelick,1
alsullicken,1
altewael,1
altste,1
alwerlick,1
amel,1
amten,1
andachtelick,1
andachtelicker,1
anderhaf,1
aneer,1
angenamen,1
anttet,1
anttoe,1
anxstelicheit,1
anxtvoldiger,1
apriel,1
apstenencien,1
arbeidelick,1
arbeidelicke,1
arbiet,1
ardende,1
armelicke,1
armoedicheit,1
atten,1
attes,1
auehts,1
auerbracht,1
auerbrachte,1
auercomen,1
auerdachtet,1
auerdragen,1
auergauen,1
auerghegeuen,1
auervlodicheit,1
auervloedich,1
auervloedicheiden,1
auervloedighen,1
auervoldelicke,1
auerweerdigen,1
auwen,1
baeringe,1
bangelicke,1
barbera,1
barlaem,1
barm,1
barmhertelicke,1
barmhertichge,1
barnadus,1
barnnende,1
bartruijt,1
bason,1
batscap,1
becaerden,1
becaernige,1
becladen,1
beclaeden,1
becnrnmeren,1
becnroroerden,1
becoemrnerden,1
becormert,1
becroenden,1
becummer,1
becummernisse,1
becuroroert,1
beddelster,1
beddende,1
bedectelick,1
bedeleggich,1
bediensticheit,1
bediensticht,1
bedijenstich,1
bedref,1
bedrief,1
bedrieue,1
bedroeue,1
bedwijngen,1
beeck,1
begaft,1
beganckenisse,1
begaruen,1
begaten,1
begeerich,1
begeerlicker,1
begenckenisse,1
begerlicke,1
begerlicken,1
begerliker,1
beghijnnen,1
begijnen,1
begijnster,1
begriep,1
begynnede,1
begynt,1
behaegen,1
behagden,1
behagedens,1
behagelicken,1
behieldi,1
behoedster,1
behoefdich,1
behoefelic,1
behoefelicheit,1
behoeffelicke,1
behoer,1
beholp,1
beholpe,1
beholpelick,1
behouwe,1
behulpelich,1
behulpelicken,1
behulpelicker,1
behulps,1
beibelen,1
beiegende,1
beiegent,1
beijegen,1
beijegende,1
bekallen,1
bekenlick,1
bekummeringhe,1
belaft,1
belede,1
beleefdent,1
beleijden,1
beleuet,1
belieden,1
bellynchaven,1
bemardus,1
benaem,1
benaemen,1
benaude,1
benauwen,1
benendisten,1
benewen,1
beneyden,1
bengelick,1
benijder,1
benijdet,1
bequamelick,1
bequamelicker,1
bequemste,1
berbaren,1
bereijtheit,1
bereitste,1
berflicke,1
berfs,1
berfue,1
berichtelicheit,1
berichtelick,1
berispten,1
bernardes,1
beroespen,1
beruer,1
beschermijnge,1
beschreijden,1
beschreijt,1
beschrieft,1
besichden,1
besietten,1
beslaetten,1
beslot,1
besmaeken,1
besoergeden,1
besoerget,1
besondighe,1
besorden,1
besorgden,1
besorgeden,1
besorgersche,1
besundichgen,1
beswart,1
besweelt,1
betonnen,1
beuaellen,1
beuallet,1
beuellen,1
bewael,1
bewalen,1
bewants,1
bewesselicker,1
bewroeden,1
bias,1
biel,1
biermoise,1
biesters,1
bijken,1
bijnen,1
bijtters,1
bijweselick,1
bijwesens,1
blasbalgen,1
bliefer,1
blieuet,1
blijdelick,1
blijdelicke,1
blijfer,1
blijnder,1
blijtschappen,1
blo,1
bloeet,1
bluset,1
blyfer,1
blyffer,1
blynder,1
bockes,1
boecholt,1
bolderen,1
bomel,1
borstsucten,1
breckinghe,1
bred,1
brinkerijnck,1
brouden,1
brouhuijs,1
brudigom,1
bruedersdat,1
bruedersof,1
bruederstoe,1
brunnekelken,1
buckouel,1
buegen,1
bugeden,1
buijtten,1
bustu,1
bynnesten,1
bynste,1
bynsten,1
calommme,1
calumme,1
camrop,1
capittellen,1
carenre,1
carter,1
castijninge,1
cathedra,1
celenciom,1
celencium,1
celenscie,1
cie,1
claden,1
cladent,1
clagden,1
clefsche,1
cleijnlick,1
cleijnste,1
cleues,1
cleynmoedighen,1
coernelius,1
collen,1
comelicken,1
comelijs,1
comelius,1
comhorst,1
commerlick,1
conciencelic,1
confersacien,1
confersieren,1
conheit,1
conhoerst,1
conhorst,1
conscien,1
contrarije,1
contray,1
copman,1
cornelis,1
corrijgieren,1
costelres,1
costersche,1
creatur,1
crippeloes,1
cron,1
cronighe,1
crucenfijxs,1
crucwijs,1
ctde,1
cummerlic,1
cunde,1
dachschen,1
dachtelicken,1
dacke,1
dagelixsen,1
dagelixser,1
daghelixs,1
dancbaeren,1
dancbaerer,1
dancbaerlick,1
dartien,1
deildent,1
del,1
delachcich,1
deniersten,1
dergelick,1
derick,1
dersaeten,1
detet,1
deuoetelic,1
deventer,1
devoecien,1
dienresche,1
dienstichgen,1
diewijle,1
diewile,1
dijenst,1
dijenste,1
dijncsken,1
dijnge,1
dijnges,1
dijnk,1
dijnsperden,1
dijnst,1
dijscipellen,1
dijssijppellen,1
discipellen,1
dissipelen,1
dochsam,1
dochtelich,1
dochtelicheit,1
dochtelichheit,1
dochtelicker,1
doeggende,1
doems,1
doennen,1
doerfte,1
doerluchtich,1
doerp,1
doesboerch,1
dootlicken,1
dootsunde,1
doppen,1
dorderijch,1
dorsen,1
drachgelic,1
drachgelicheit,1
drachlick,1
drancket,1
dranek,1
dreuelijnck,1
dreuelinck,1
driellen,1
drienckcn,1
drienken,1
drijncen,1
drijncket,1
drocht,1
droefelicke,1
droeffelic,1
droeffelick,1
droeffich,1
droeft,1
droefticheit,1
droencken,1
droeuigen,1
drouigen,1
druckelicke,1
duckwijle,1
ducwiel,1
duncte,1
duwdent,1
duwel,1
dwalden,1
dwynghen,1
dynden,1
dynges,1
eckelick,1
edicks,1
eenlicke,1
eenuoldigen,1
eenvoldelicke,1
eenvoldiger,1
eerbaere,1
eerberlick,1
eerebaeren,1
eersamelic,1
eersamelick,1
eersamich,1
eersamichgen,1
eersammych,1
eerweerdigher,1
eerwerdiger,1
eerwerdigher,1
eessel,1
eijgenre,1
eijgenschap,1
elijsabet,1
elisabet,1
ellendichsten,1
ellick,1
elverick,1
embric,1
emperlicke,1
enichge,1
enst,1
entsliep,1
entter,1
eonsieneelick,1
epilog,1
erbaren,1
eriegen,1
erkels,1
evert,1
ewangielien,1
ewangijelis,1
ewelicke,1
exempell,1
exempellaerster,1
fasen,1
feestelicheit,1
fenckel,1
ferando,1
fijen,1
fleechten,1
floerenshuijs,1
fondierster,1
fonteijnen,1
franscicus,1
frateren,1
fraterhus,1
fystel,1
gadelicke,1
gaedes,1
gaeseten,1
gafken,1
ganckelicke,1
gar,1
gealijet,1
gearbeiden,1
gebaede,1
gebeetert,1
gebendide,1
gebente,1
geberken,1
gebertert,1
gebetken,1
gebiedelic,1
gebosem,1
gebouwet,1
gebraeken,1
gebreckelicheit,1
gebreckelicke,1
gebrekelick,1
gebruckende,1
gebueget,1
gebuet,1
gebusam,1
gebusem,1
gecant,1
geclaerifi,1
gecriegen,1
gecront,1
gecrucsten,1
gecten,1
gedachden,1
gedancket,1
gedanich,1
gedelick,1
gedert,1
gedienst,1
gedoe,1
gedoegden,1
gedoesam,1
gedriencken,1
gedroengen,1
gedrucket,1
gedruckt,1
geduldelicken,1
geduldigen,1
gedwijngen,1
geeeijndet,1
geeijndet,1
geeijschet,1
geeijset,1
geeischet,1
geelden,1
geennielant,1
geerlick,1
geertrnijt,1
geertruijdt,1
geertruijtden,1
geertruit,1
geese,1
geetten,1
gegalt,1
gegoedet,1
gegrauen,1
gegrouwelt,1
gehardet,1
geheitenjde,1
gehennen,1
gehillickt,1
gehoerich,1
gehyelickt,1
geiacht,1
geistelicheit,1
geistelike,1
geisteliken,1
gekaren,1
geknoept,1
gekost,1
gekrenct,1
gekroet,1
gelaef,1
gelaefden,1
gelaeken,1
gelaetenre,1
gelapten,1
geloeffelicken,1
gelont,1
gelouige,1
gelouighe,1
gelouwen,1
gelresschen,1
gelsucht,1
gemacket,1
gemaecket,1
gemeijnlike,1
gemeijnre,1
gemeijnt,1
gemekelick,1
gemerket,1
gemeyneren,1
gemeynheit,1
gemijn,1
gemijnde,1
gemmacht,1
gemoeit,1
gemuete,1
gemyeden,1
gemynden,1
gemyneren,1
genadendal,1
genam,1
gende,1
genemelick,1
genemelicke,1
generden,1
genochgelicker,1
genochgelike,1
genochlick,1
genochsamheit,1
genoechsam,1
genoemde,1
genreleij,1
genuchgelicke,1
genuchgelike,1
genucht,1
genuttet,1
geoerloeft,1
geparset,1
gepijnget,1
gepijnse,1
gepijnst,1
geprofessit,1
gequesset,1
gequeste,1
geracke,1
geracken,1
gerackes,1
geraek,1
gereigiert,1
gereijscap,1
gereijst,1
gereyscap,1
gerienge,1
gerijnghe,1
gerijt,1
gerits,1
gerokt,1
geryenge,1
gescandelesiert,1
geschandelesiert,1
gescharen,1
geschaten,1
geschelt,1
geschicket,1
geschiecket,1
geschiecte,1
geschiectelic,1
geschieket,1
geschittelick,1
geschort,1
geschouwet,1
geschreijt,1
geschrieuen,1
geschulden,1
geseellen,1
geseelschap,1
gesegget,1
gesehiectelick,1
geselschep,1
gesiende,1
geslaeten,1
geslaetten,1
gesmaet,1
gesnijden,1
gesteltenisse,1
gestelttenisse,1
gestocket,1
gestudiert,1
getaegen,1
getaghen,1
getalle,1
geteikent,1
getijdet,1
getrecket,1
geuaelden,1
geuaeren,1
geueget,1
geuelt,1
geuoedet,1
geuolden,1
geveest,1
gevijel,1
gevoechgelick,1
gevoegelick,1
gevredet,1
gewaelt,1
gewaerichger,1
gewallen,1
gewecket,1
geweerdichden,1
geweeten,1
gewielet,1
gewielt,1
gewoeget,1
gewoenden,1
gewoenlick,1
gewolde,1
gewolt,1
gewonlicke,1
gewynne,1
gheapsoluiert,1
gheboechsem,1
ghecapittelt,1
ghecaren,1
gheconsacaeriert,1
ghedaget,1
gheduldelick,1
ghegrouwelt,1
gheguedet,1
ghekant,1
ghelichtet,1
ghelickes,1
ghelot,1
ghemaniert,1
ghemeijnen,1
ghemeijneti,1
ghemeijnlick,1
ghemeynnen,1
ghemeynten,1
ghemormeriert,1
ghenaeden,1
ghenedighen,1
gheneiget,1
ghenem,1
ghenochgelick,1
ghenochgelicke,1
ghenochgelicken,1
ghenocht,1
ghenuchgelick,1
gheolijt,1
ghepuerigert,1
gherack,1
gheracke,1
ghereiscap,1
ghern,1
ghesaeten,1
gheschandelsiert,1
gheschictheit,1
gheschienen,1
gheschoelden,1
ghescrieuen,1
ghesellich,1
gheslaeten,1
gheslaten,1
ghespeegen,1
ghetuch,1
gheuoellen,1
ghevalden,1
ghevisentiert,1
ghevolget,1
ghevollengen,1
ghevredet,1
ghewaelt,1
ghewaerigen,1
ghewaeriger,1
ghewallen,1
ghewiel,1
ghewijnghen,1
ghewijnne,1
ghewoenden,1
ghewonlick,1
ghijnc,1
gijn,1
gijnct,1
gijnghen,1
gleden,1
glories,1
glorios,1
goddichtige,1
goddienstichgher,1
goddoenstelic,1
godfruchtelick,1
godfruchtige,1
godfruchtigen,1
godfruchtighe,1
godfructichgen,1
godm,1
godmynende,1
godschouwelicheit,1
godschouwelick,1
godtelick,1
godtelicken,1
goetgrondich,1
goij,1
gonstelicheit,1
gonstelick,1
gonstichger,1
gorgel,1
gottelicke,1
grafsten,1
grafuen,1
grauer,1
grauwelden,1
griepen,1
griethuijssen,1
grietten,1
groetelick,1
groetenre,1
groetmoediger,1
groetsten,1
groijden,1
grontwerck,1
groof,1
gruwellen,1
gued,1
guerdertieren,1
guetgonnich,1
guetgonstich,1
guetgrondich,1
guettelic,1
guettelicheit,1
guettelicke,1
guetwillichgen,1
guetwillichlic,1
guetwillichlick,1
gulde,1
gynct,1
habiets,1
hacken,1
hafmans,1
hafuenen,1
hagesteen,1
halfhondert,1
halfsuster,1
hammels,1
hantreijkinge,1
hantreikeynge,1
hantreikijnge,1
hantreikinge,1
hanttieren,1
happe,1
harber,1
hardelick,1
harderber,1
hartseboel,1
harttelick,1
hasse,1
hassen,1
hastichgen,1
hastige,1
hattelick,1
haueninge,1
hauvieringe,1
heckel,1
heckellen,1
heerschap,1
heffenisse,1
heijme,1
heijmelicheit,1
heijmelike,1
heijmels,1
heiste,1
hemelicke,1
hengel,1
henrijck,1
hentet,1
hentten,1
herenberch,1
herenberge,1
herlicken,1
hertelicheit,1
hertelicken,1
hertich,1
hertochghen,1
hertochinnen,1
hettelic,1
hiernaemaels,1
hijelt,1
hijlicken,1
hiv,1
hocheit,1
hochschoen,1
hochtijdelick,1
hocke,1
hocken,1
hoechmijssen,1
hoefd,1
hoike,1
hongerijck,1
houeluden,1
houerdije,1
hoymant,1
hren,1
hucken,1
hufvrou,1
huijsen,1
huijsghenoeten,1
huijsinge,1
husvrouwen,1
hync,1
iaemerlick,1
iaere,1
iamerlicheiden,1
iamerlicker,1
idijt,1
iemaent,1
ieuens,1
ija,1
ijdellen,1
ijden,1
ijegelic,1
ijegens,1
ijeghelick,1
ijement,1
ijnende,1
ijnnich,1
ijnnicheit,1
ijnnichlicken,1
ijo,1
ijoget,1
ijongen,1
ijserhel,1
ijuda,1
incorporieren,1
ingekiert,1
ingesat,1
ingetagen,1
ingewynge,1
inglidynge,1
inradinghe,1
insettenige,1
inwerkinge,1
iochget,1
iogent,1
ionferken,1
ionferlicke,1
iongelijnghe,1
iosaphet,1
jannuarius,1
jheronymus,1
joncferen,1
jonckfrouwen,1
jonferlick,1
joren,1
junus,1
kafden,1
kalde,1
kallinghe,1
kamel,1
kannes,1
kanonninck,1
kapittel,1
karsten,1
kastiden,1
kastijdent,1
katen,1
katherynnen,1
kemden,1
kenre,1
kerckelicke,1
kerckhof,1
kerkhof,1
kerskelick,1
kersnachts,1
kerstelicken,1
kervellen,1
kessen,1
kierich,1
kieriossicheit,1
kijndeken,1
kijne,1
kijnst,1
kijnttelicker,1
kijsken,1
kirioesheit,1
klaf,1
klage,1
klappinge,1
klerck,1
kloek,1
kloeke,1
kloeken,1
kloppen,1
knopkens,1
knynen,1
kochtet,1
koeen,1
koerfkens,1
kommensade,1
kon,1
kondens,1
kontrarie,1
korfkens,1
koster,1
kouel,1
kransken,1
krenken,1
kroden,1
kroemken,1
kronde,1
kropt,1
krudes,1
kummer,1
kundes,1
kundichden,1
kuppen,1
kustel,1
kut,1
kysten,1
laecken,1
laeefden,1
laefdent,1
laetende,1
laetes,1
laeuen,1
laffelicke,1
laffenisse,1
lane,1
lantterne,1
lateinsche,1
latterne,1
lauelick,1
ledes,1
leerlicken,1
leesset,1
leetwesenden,1
legeende,1
lelickste,1
lemkens,1
letenijen,1
leueeren,1
leuendichge,1
leuendichlicke,1
lexs,1
lichtuerdich,1
lichtuerdigen,1
lidsam,1
