word,frequency_in_target,frequency_in_reference,in_reference,lexical_confidence
ende,6539,160888,True,1.0000
si,5998,23274,True,0.8387
dat,3473,72002,True,0.9329
hoer,2453,1101,True,0.5843
die,2155,104619,True,0.9641
was,2024,12741,True,0.7885
in,1949,49084,True,0.9010
toe,1880,3609,True,0.6833
soe,1827,9117,True,0.7606
den,1387,28010,True,0.8542
en,1359,27574,True,0.8529
van,1305,44846,True,0.8934
daer,1068,23551,True,0.8397
een,961,21297,True,0.8313
niet,865,19734,True,0.8250
op,857,11917,True,0.7829
der,803,21368,True,0.8316
doe,771,13193,True,0.7914
of,767,9787,True,0.7665
hadde,766,4959,True,0.7098
hi,724,30225,True,0.8605
plach,714,421,True,0.5042
oec,702,4769,True,0.7065
tot,676,7642,True,0.7458
want,666,16178,True,0.8084
suster,637,410,True,0.5020
hier,636,5868,True,0.7238
susteren,614,109,True,0.3921
als,598,13083,True,0.7907
mit,571,9916,True,0.7676
mer,569,6006,True,0.7258
hem,529,24861,True,0.8442
om,455,10425,True,0.7717
wael,450,334,True,0.4850
alsoe,438,3777,True,0.6871
hoeren,438,335,True,0.4852
men,430,6666,True,0.7344
had,422,1267,True,0.5960
des,398,9880,True,0.7673
ic,385,14435,True,0.7989
seer,385,3230,True,0.6740
dan,379,9552,True,0.7645
aen,350,2532,True,0.6537
dede,346,2332,True,0.6469
voer,343,2995,True,0.6677
altoes,334,2076,True,0.6372
wart,328,1112,True,0.5851
wat,327,4115,True,0.6942
ons,326,9820,True,0.7668
seide,324,6472,True,0.7320
mede,323,3354,True,0.6772
al,320,11126,True,0.7772
sij,308,2510,True,0.6530
noch,307,6659,True,0.7344
hoere,302,82,True,0.3686
guede,296,458,True,0.5112
god,293,7487,True,0.7441
te,293,28665,True,0.8561
heuet,291,572,True,0.5297
solde,277,316,True,0.4804
is,275,20848,True,0.8296
doen,274,8058,True,0.7503
dese,273,7383,True,0.7430
quam,260,2879,True,0.6644
alte,256,659,True,0.5415
leuen,256,896,True,0.5671
here,253,4051,True,0.6929
wt,249,1680,True,0.6195
et,245,980,True,0.5746
nae,224,1647,True,0.6179
duck,222,74,True,0.3601
mijt,222,1,True,0.0578
tijt,218,2283,True,0.6451
vol,218,1025,True,0.5783
heilige,215,423,True,0.5046
sijn,210,20501,True,0.8282
alle,209,11693,True,0.7813
allen,207,3807,True,0.6877
dit,201,7987,True,0.7495
iaer,201,305,True,0.4774
bij,200,476,True,0.5145
groeter,195,178,True,0.4327
seggen,195,945,True,0.5716
onsen,194,1743,True,0.6226
waren,193,3892,True,0.6896
woe,190,42,True,0.3137
hebben,189,6376,True,0.7307
se,186,929,True,0.5701
wij,186,1874,True,0.6286
guet,185,876,True,0.5653
dattet,183,1160,True,0.5887
dochden,180,2,True,0.0916
int,179,2931,True,0.6659
wolde,179,156,True,0.4218
enen,178,4461,True,0.7010
geen,178,1153,True,0.5881
gaf,172,1140,True,0.5872
onse,172,3967,True,0.6912
hadden,170,1644,True,0.6177
bi,169,4660,True,0.7046
gijnck,169,0,False,0.0000
af,165,2303,True,0.6458
dingen,165,816,True,0.5593
gades,164,8,True,0.1833
mij,164,244,True,0.4589
v,161,3090,True,0.6703
groete,156,273,True,0.4682
gueden,154,367,True,0.4928
onder,154,2778,True,0.6615
gern,153,5,True,0.1495
konde,153,38,True,0.3056
moeder,152,1554,True,0.6130
hoerden,150,133,True,0.4085
huijs,149,6,True,0.1623
dach,148,1228,True,0.5934
voel,148,524,True,0.5225
heiligen,147,311,True,0.4790
ouersten,144,98,True,0.3833
onser,143,1191,True,0.5909
seluer,143,467,True,0.5129
doot,140,2694,True,0.6589
lieuen,137,30,True,0.2864
weder,137,3508,True,0.6809
lieue,135,335,True,0.4852
waer,132,3457,True,0.6797
hielt,128,213,True,0.4476
mochte,128,1372,True,0.6026
wesen,128,3071,True,0.6698
hoers,125,82,True,0.3686
gaen,124,2223,True,0.6429
ia,124,106,True,0.3898
liet,123,522,True,0.5221
mocht,121,675,True,0.5435
meer,120,3157,True,0.6721
solden,118,122,True,0.4014
geweest,116,367,True,0.4928
wil,116,2310,True,0.6461
geern,115,16,True,0.2363
mensche,114,3962,True,0.6911
sach,114,1911,True,0.6303
lijden,112,208,True,0.4456
auer,111,2,True,0.0916
oer,111,270,True,0.4673
pater,109,208,True,0.4456
recht,109,1356,True,0.6017
nochtant,108,132,True,0.4079
sunderlinge,106,39,True,0.3077
dochtelick,105,0,False,0.0000
alre,104,2007,True,0.6344
gi,104,3251,True,0.6746
guetelick,103,0,False,0.0000
guedes,102,11,True,0.2073
nv,100,675,True,0.5435
heren,99,2737,True,0.6602
wanneer,98,489,True,0.5167
tegen,96,635,True,0.5385
het,94,3748,True,0.6864
voert,93,1067,True,0.5817
aldus,91,4236,True,0.6966
gedaen,90,1158,True,0.5885
iemant,90,15,True,0.2313
nauwe,89,188,True,0.4372
schemel,89,1,True,0.0578
woste,88,1,True,0.0578
menschen,86,3302,True,0.6759
sonder,86,3757,True,0.6866
kerken,85,410,True,0.5020
dijt,84,15,True,0.2313
herten,84,2083,True,0.6374
heiliger,83,162,True,0.4249
mynnen,83,142,True,0.4140
oerden,83,45,True,0.3194
oetmoedich,82,119,True,0.3993
sal,82,10485,True,0.7722
bauen,81,5,True,0.1495
werck,81,175,True,0.4313
griet,80,2,True,0.0916
lude,80,539,True,0.5248
seluen,80,829,True,0.5607
deser,79,1790,True,0.6248
eer,79,1343,True,0.6009
sancte,79,19,True,0.2499
rechte,77,823,True,0.5601
dijnck,76,0,False,0.0000
enige,76,74,True,0.3601
vriende,76,183,True,0.4350
conde,75,233,True,0.4550
geertruijt,75,0,False,0.0000
mijnlick,75,0,False,0.0000
leeren,74,281,True,0.4706
nijemant,73,1,True,0.0578
och,73,364,True,0.4921
sat,73,327,True,0.4832
warden,73,206,True,0.4448
nije,72,3,True,0.1156
sich,72,343,True,0.4872
nam,71,1173,True,0.5896
willich,71,52,True,0.3312
groet,70,895,True,0.5670
kijnder,69,66,True,0.3507
ynnicheit,69,43,True,0.3157
ziel,69,303,True,0.4769
vader,68,3316,True,0.6762
weerdicheit,68,107,True,0.3906
wonnen,68,36,True,0.3012
deuoet,67,7,True,0.1735
heb,67,1348,True,0.6012
leerden,67,35,True,0.2989
sterf,67,105,True,0.3890
stichtich,67,0,False,0.0000
vast,67,304,True,0.4772
worden,67,1780,True,0.6243
halden,66,24,True,0.2685
moeste,66,175,True,0.4313
werken,66,1374,True,0.6028
wttermaeten,66,0,False,0.0000
iongen,65,43,True,0.3157
lange,64,734,True,0.5505
lief,64,809,True,0.5586
arbeit,62,326,True,0.4830
wie,62,1703,True,0.6207
dienen,61,636,True,0.5386
guedertieren,61,78,True,0.3645
natueren,61,677,True,0.5438
oetmoedelick,61,1,True,0.0578
ogen,61,683,True,0.5445
schwester,61,0,False,0.0000
vreden,61,480,True,0.5152
badt,60,291,True,0.4735
comen,60,3489,True,0.6805
eens,60,824,True,0.5602
kijnt,60,67,True,0.3520
wile,59,181,True,0.4341
alleen,58,891,True,0.5667
mercten,58,10,True,0.2000
ten,58,3251,True,0.6746
eeren,57,491,True,0.5170
schen,57,0,False,0.0000
ter,57,3026,True,0.6686
ander,56,4537,True,0.7024
bynnen,56,76,True,0.3623
sacrament,56,347,True,0.4882
geviel,55,10,True,0.2000
gracie,55,594,True,0.5329
leesen,55,1,True,0.0578
arme,54,425,True,0.5050
bereit,54,166,True,0.4269
lijdsam,54,1,True,0.0578
mynne,54,117,True,0.3979
sijnen,54,545,True,0.5257
woerden,54,858,True,0.5635
ijemant,53,0,False,0.0000
ontfangen,53,340,True,0.4865
ontfijnck,53,0,False,0.0000
waeren,53,97,True,0.3824
bidden,52,663,True,0.5420
groeten,52,139,True,0.4122
mallick,52,1,True,0.0578
stont,52,1170,True,0.5894
alst,51,955,True,0.5724
alt,51,49,True,0.3263
desen,51,3597,True,0.6830
gehadt,51,75,True,0.3612
quamen,51,1383,True,0.6033
spreken,51,1187,True,0.5906
trou,51,8,True,0.1833
man,50,2473,True,0.6518
ynnich,50,8,True,0.1833
doch,49,662,True,0.5419
geuen,49,145,True,0.4157
goddienstich,49,1,True,0.0578
lieuer,49,54,True,0.3343
sien,49,1588,True,0.6148
werlt,49,388,True,0.4974
dage,48,507,True,0.5197
dijngen,48,2,True,0.0916
helpen,48,486,True,0.5162
lach,48,484,True,0.5158
mennich,48,69,True,0.3544
nummermeer,48,148,True,0.4174
sprack,48,309,True,0.4785
gebede,47,87,True,0.3735
gegeuen,47,103,True,0.3874
heer,47,2455,True,0.6511
oetmoedicheit,47,207,True,0.4452
wanner,47,27,True,0.2780
wege,47,178,True,0.4327
dus,46,909,True,0.5683
geenen,46,26,True,0.2749
las,46,76,True,0.3623
sijnre,46,2232,True,0.6432
verduldich,46,32,True,0.2917
allent,45,16,True,0.2363
begerden,45,84,True,0.3706
gecomen,45,392,True,0.4983
leet,45,459,True,0.5114
achter,44,464,True,0.5123
gueder,44,123,True,0.4021
ierst,44,244,True,0.4589
steruen,44,267,True,0.4664
anderen,43,1917,True,0.6305
gebaren,43,6,True,0.1623
gebracht,43,68,True,0.3532
luden,43,578,True,0.5306
vrienden,43,489,True,0.5167
wes,43,267,True,0.4664
gracien,42,687,True,0.5450
schrieft,42,0,False,0.0000
swaer,42,314,True,0.4798
butten,41,0,False,0.0000
cleyn,41,252,True,0.4616
doer,41,1182,True,0.5902
goddienstelick,41,0,False,0.0000
laet,41,1482,True,0.6091
mijn,41,4048,True,0.6929
barmhertich,40,14,True,0.2259
begeerden,40,24,True,0.2685
enigen,40,36,True,0.3012
jde,40,0,False,0.0000
mach,40,4537,True,0.7024
natuer,40,203,True,0.4436
vlittich,40,0,False,0.0000
alijt,39,0,False,0.0000
huijse,39,2,True,0.0916
ihesus,39,471,True,0.5136
mochten,39,580,True,0.5309
stiel,39,0,False,0.0000
tijden,39,111,True,0.3936
tranen,39,286,True,0.4721
mennige,38,20,True,0.2540
wanderinge,38,11,True,0.2073
ens,37,8,True,0.1833
hart,37,143,True,0.4145
licham,37,128,True,0.4054
verdragen,37,57,True,0.3387
armen,36,634,True,0.5383
dancbaer,36,7,True,0.1735
dochter,36,742,True,0.5514
gebet,36,123,True,0.4021
iet,36,148,True,0.4174
nemen,36,1182,True,0.5902
sijmpel,36,0,False,0.0000
sijt,36,1161,True,0.5887
syn,36,610,True,0.5351
anders,35,1230,True,0.5935
dages,35,178,True,0.4327
deden,35,473,True,0.5139
dienst,35,343,True,0.4872
halp,35,54,True,0.3343
laten,35,1478,True,0.6088
schrieuen,35,0,False,0.0000
sunderlinghe,35,85,True,0.3716
toemael,35,1,True,0.0578
eenre,34,833,True,0.5611
enich,34,388,True,0.4974
geistes,34,0,False,0.0000
heiten,34,93,True,0.3790
leefden,34,65,True,0.3495
trouwelick,34,0,False,0.0000
ziele,34,789,True,0.5565
bicht,33,14,True,0.2259
gewonte,33,0,False,0.0000
heilighe,33,563,True,0.5284
totten,33,1113,True,0.5852
woert,33,220,True,0.4503
bede,32,204,True,0.4440
bleef,32,524,True,0.5225
bloet,32,984,True,0.5749
capittel,32,1110,True,0.5850
cleijn,32,7,True,0.1735
handen,32,857,True,0.5634
hert,32,244,True,0.4589
insettinge,32,3,True,0.1156
rechten,32,282,True,0.4709
steede,32,0,False,0.0000
twee,32,1215,True,0.5925
